voltage,current,active_power,reactive_power,apparent_power,power_factor,timestamp,reliable,device_id,load_type,probe_id,frequency,energy,temperature,bulb,fan,iron,labels
233.67,0.409267,81.28837,50.37799,95.63337,0.85,2025-12-09T19:04:53.043038,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.408655,81.16676,50.30263,95.4903,0.85,2025-12-09T19:04:55.402231,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.404486,80.33881,49.78952,94.51624,0.85,2025-12-09T19:04:58.458176,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.440725,87.53658,54.25028,102.9842,0.85,2025-12-09T19:05:01.461213,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.45588,90.54673,56.11581,106.5256,0.85,2025-12-09T19:05:04.521824,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.419565,83.33377,51.64563,98.03973,0.85,2025-12-09T19:05:07.543259,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.422198,83.85678,51.96976,98.65504,0.85,2025-12-09T19:05:10.586268,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.493464,98.01163,60.74214,115.3078,0.85,2025-12-09T19:05:13.736423,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.478306,95.00095,58.87629,111.7658,0.85,2025-12-09T19:05:16.662239,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.452263,89.82819,55.6705,105.6802,0.85,2025-12-09T19:05:19.696858,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.407095,80.85693,50.11063,95.12579,0.85,2025-12-09T19:05:22.773991,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.411839,81.7993,50.69464,96.23447,0.85,2025-12-09T19:05:25.930573,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.440149,87.4221,54.17934,102.8495,0.85,2025-12-09T19:05:28.829495,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.462523,91.86613,56.93351,108.0778,0.85,2025-12-09T19:05:31.913572,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.436395,86.67666,53.71735,101.9725,0.85,2025-12-09T19:05:35.032502,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.442146,87.81873,54.42516,103.3162,0.85,2025-12-09T19:05:38.009114,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.452605,89.89627,55.7127,105.7603,0.85,2025-12-09T19:05:41.154448,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.478868,95.11246,58.9454,111.897,0.85,2025-12-09T19:05:44.032308,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.4208,83.57907,51.79765,98.32832,0.85,2025-12-09T19:05:47.095910,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.432128,85.82909,53.19209,100.9754,0.85,2025-12-09T19:05:50.124101,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.435696,86.53767,53.63122,101.809,0.85,2025-12-09T19:05:53.145909,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.438116,87.0183,53.9291,102.3745,0.85,2025-12-09T19:05:56.191671,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.44807,88.99546,55.15443,104.7005,0.85,2025-12-09T19:05:59.238331,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.486805,96.68904,59.92248,113.7518,0.85,2025-12-09T19:06:02.267548,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.445575,88.49993,54.84732,104.1176,0.85,2025-12-09T19:06:05.320339,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.406232,80.68562,50.00445,94.92425,0.85,2025-12-09T19:06:08.359784,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.406991,80.83639,50.09789,95.10163,0.85,2025-12-09T19:06:11.391298,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.43578,86.55437,53.64157,101.8287,0.85,2025-12-09T19:06:14.432920,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.451977,89.77139,55.63532,105.6134,0.85,2025-12-09T19:06:17.483939,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.458414,91.04995,56.42768,107.1176,0.85,2025-12-09T19:06:20.506828,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.412954,82.02076,50.8319,96.49501,0.85,2025-12-09T19:06:24.772583,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.41492,82.41113,51.07382,96.95427,0.85,2025-12-09T19:06:26.598323,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.423275,84.07066,52.10231,98.90666,0.85,2025-12-09T19:06:29.649172,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.438659,87.12621,53.99598,102.5014,0.85,2025-12-09T19:06:32.993281,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.461157,91.59476,56.76534,107.7585,0.85,2025-12-09T19:06:35.723441,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.447843,88.95039,55.1265,104.6475,0.85,2025-12-09T19:06:38.776166,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.457036,90.77623,56.25805,106.7956,0.85,2025-12-09T19:06:41.796407,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.475382,94.42021,58.51639,111.0826,0.85,2025-12-09T19:06:44.846660,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.458521,91.07114,56.44081,107.1425,0.85,2025-12-09T19:06:47.877102,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.434017,86.20431,53.42463,101.4168,0.85,2025-12-09T19:06:50.938125,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.440489,87.48967,54.22123,102.929,0.85,2025-12-09T19:06:53.959454,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.477946,94.92936,58.83192,111.6816,0.85,2025-12-09T19:06:57.000593,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.458769,91.12051,56.47141,107.2006,0.85,2025-12-09T19:07:00.053153,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.409901,81.41434,50.45607,95.78158,0.85,2025-12-09T19:07:03.076624,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.479551,95.24809,59.02945,112.0566,0.85,2025-12-09T19:07:06.116322,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.431648,85.73362,53.13292,100.8631,0.85,2025-12-09T19:07:09.156611,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.460628,91.48977,56.70026,107.635,0.85,2025-12-09T19:07:12.210563,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.489264,97.17745,60.22516,114.3264,0.85,2025-12-09T19:07:15.248123,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.46078,91.51984,56.71891,107.6704,0.85,2025-12-09T19:07:18.288307,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.461525,91.6679,56.81066,107.8446,0.85,2025-12-09T19:07:21.323689,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.417617,82.94691,51.40588,97.5846,0.85,2025-12-09T19:07:24.394817,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.421263,83.67107,51.85467,98.43655,0.85,2025-12-09T19:07:27.414428,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.430522,85.51009,52.99439,100.6001,0.85,2025-12-09T19:07:30.461364,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.429948,85.39609,52.92373,100.466,0.85,2025-12-09T19:07:33.495834,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.500716,99.452,61.6348,117.0023,0.85,2025-12-09T19:07:36.526026,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.456485,90.66688,56.19029,106.6669,0.85,2025-12-09T19:07:39.568122,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.410374,81.50824,50.51426,95.89204,0.85,2025-12-09T19:07:42.605187,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.458009,90.96951,56.37783,107.0229,0.85,2025-12-09T19:07:45.651587,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.43459,86.31806,53.49512,101.5507,0.85,2025-12-09T19:07:48.696548,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.446593,88.70201,54.97257,104.3553,0.85,2025-12-09T19:07:51.727253,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.44631,88.64584,54.93775,104.2892,0.85,2025-12-09T19:07:54.815791,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.464278,92.21465,57.1495,108.4878,0.85,2025-12-09T19:07:57.827924,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.460453,91.45486,56.67863,107.5939,0.85,2025-12-09T19:08:00.883741,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.412661,81.96252,50.79581,96.42649,0.85,2025-12-09T19:08:03.907073,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.423562,84.12775,52.13769,98.97382,0.85,2025-12-09T19:08:06.944706,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.431655,85.7351,53.13383,100.8648,0.85,2025-12-09T19:08:09.987510,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.410532,81.5397,50.53377,95.92906,0.85,2025-12-09T19:08:13.024500,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.435472,86.49319,53.60366,101.7567,0.85,2025-12-09T19:08:16.079158,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.440747,87.54099,54.25301,102.9894,0.85,2025-12-09T19:08:19.138544,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.462476,91.85677,56.9277,108.0668,0.85,2025-12-09T19:08:22.173760,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.437592,86.91432,53.86466,102.2521,0.85,2025-12-09T19:08:25.229161,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.437443,86.88471,53.84631,102.2173,0.85,2025-12-09T19:08:28.244816,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.454557,90.28379,55.95287,106.2162,0.85,2025-12-09T19:08:31.295395,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.446576,88.69862,54.97046,104.3513,0.85,2025-12-09T19:08:34.329773,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.465525,92.46236,57.30301,108.7792,0.85,2025-12-09T19:08:37.357121,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.458442,91.05552,56.43114,107.1241,0.85,2025-12-09T19:08:40.406593,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.45968,91.30137,56.58352,107.4134,0.85,2025-12-09T19:08:43.447179,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.453232,90.02076,55.78984,105.9068,0.85,2025-12-09T19:08:46.486545,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.16413,32.59948,20.20334,38.35232,0.85,2025-12-09T19:08:49.525710,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.138325,27.47411,17.02692,32.32248,0.85,2025-12-09T19:08:52.596081,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.16462,32.69669,20.26359,38.46669,0.85,2025-12-09T19:08:55.628591,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.170451,33.85499,20.98143,39.8294,0.85,2025-12-09T19:08:58.667168,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.033235,0,0,7.765914,0,2025-12-09T19:09:01.712751,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.211606,42.02908,26.04728,49.44597,0.85,2025-12-09T19:09:04.735210,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.165025,32.77716,20.31346,38.56137,0.85,2025-12-09T19:09:07.820653,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.035531,0,0,8.30253,0,2025-12-09T19:09:11.013477,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.0343,0,0,8.014958,0,2025-12-09T19:09:13.898863,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.165892,32.94943,20.42023,38.76403,0.85,2025-12-09T19:09:16.911872,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.152681,30.32533,18.79395,35.67685,0.85,2025-12-09T19:09:19.946603,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.196589,39.04631,24.19873,45.93684,0.85,2025-12-09T19:09:22.984885,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.053528,0,0,12.50777,0,2025-12-09T19:09:26.039637,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.164611,32.69487,20.26246,38.46455,0.85,2025-12-09T19:09:29.077181,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.123258,24.48142,15.17222,28.80167,0.85,2025-12-09T19:09:32.128398,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.26058,51.75619,32.0756,60.88963,0.85,2025-12-09T19:09:35.156885,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.266296,52.89158,32.77925,62.22539,0.85,2025-12-09T19:09:38.203080,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.190315,37.80028,23.42651,44.47092,0.85,2025-12-09T19:09:41.227142,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.032072,0,0,7.494336,0,2025-12-09T19:09:44.265943,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.219128,43.52306,26.97317,51.2036,0.85,2025-12-09T19:09:47.305314,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.179567,35.66552,22.1035,41.95943,0.85,2025-12-09T19:09:50.345475,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.25929,51.50003,31.91685,60.58827,0.85,2025-12-09T19:09:53.409152,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.262594,52.15632,32.32358,61.36038,0.85,2025-12-09T19:09:56.428658,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.183183,36.38379,22.54865,42.80446,0.85,2025-12-09T19:09:59.464727,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.204716,40.66067,25.19922,47.83608,0.85,2025-12-09T19:10:02.507718,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.213753,42.4556,26.31162,49.94776,0.85,2025-12-09T19:10:05.554536,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.110512,21.94993,13.60334,25.82345,0.85,2025-12-09T19:10:08.599964,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.13772,27.35388,16.95241,32.18103,0.85,2025-12-09T19:10:11.646458,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.070331,0,0,16.43435,0,2025-12-09T19:10:14.694710,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
